################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  4.5911098517427015E-02 a       243     0    10     1    18
  1.9053926247760772E-01 a       244     0    10     1    19
 -2.1816815380687080E-01 a       245     0    10     1    20
  1.5433061325221611E-01 a       246     0    10     1    21
 -1.7224420278007749E-01 a       247     0    10     1    22
 -2.4309090926587264E-03 a       248     0    10     1    23
 -4.7676605093683495E-02 a       249     0    10     1    24
  1.7267058189808748E-01 a       250     0    10     1    25
 -4.4860800524881297E-02 a       251     0    11     1     1
  1.7368626007344443E-01 a       252     0    11     1     2
 -8.2627345203504135E-02 a       253     0    11     1     3
  1.4471544075288120E-01 a       254     0    11     1     4
  2.5824728796712343E-01 a       255     0    11     1     5
 -1.7784252847286439E-01 a       256     0    11     1     6
  3.1461354241339487E-02 a       257     0    11     1     7
  1.7221790438228976E-01 a       258     0    11     1     8
  2.5973967407552273E-01 a       259     0    11     1     9
 -1.4720049057528944E-02 a       260     0    11     1    10
  8.4436905059584705E-02 a       261     0    11     1    11
 -2.3218038741194877E-01 a       262     0    11     1    12
  1.2839485123046157E-01 a       263     0    11     1    13
  7.7604661013945073E-02 a       264     0    11     1    14
 -3.5668557270281107E-02 a       265     0    11     1    15
  9.7408525165352935E-02 a       266     0    11     1    16
 -2.3529972597460655E-01 a       267     0    11     1    17
 -1.1761531511823273E-02 a       268     0    11     1    18
 -1.2033574706688631E-01 a       269     0    11     1    19
  1.5409860045653972E-01 a       270     0    11     1    20
 -2.2034650752712595E-01 a       271     0    11     1    21
 -7.8450710459738740E-02 a       272     0    11     1    22
 -7.9618283513736329E-02 a       273     0    11     1    23
  2.5440321883868161E-01 a       274     0    11     1    24
 -3.6178183947268634E-02 a       275     0    11     1    25
  3.1646346039492852E-02 a       276     0    12     1     1
  1.4974992550402766E-01 a       277     0    12     1     2
 -6.9203444162333006E-03 a       278     0    12     1     3
  1.8671664055133078E-01 a       279     0    12     1     4
  1.2893535716633853E-01 a       280     0    12     1     5
 -9.1191018175873162E-02 a       281     0    12     1     6
  2.2984933208416961E-01 a       282     0    12     1     7
 -1.8095902489774640E-01 a       283     0    12     1     8
 -1.8522873431482256E-01 a       284     0    12     1     9
  1.6140988237425588E-01 a       285     0    12     1    10
 -1.4515735880306980E-02 a       286     0    12     1    11
  2.5482879198041697E-01 a       287     0    12     1    12
 -8.0183213963684885E-02 a       288     0    12     1    13
 -2.0627678141952796E-01 a       289     0    12     1    14
  9.1174700006363560E-02 a       290     0    12     1    15
 -1.5789557666316331E-02 a       291     0    12     1    16
  1.0811466595350733E-01 a       292     0    12     1    17
  9.1210010893247012E-02 a       293     0    12     1    18
 -1.9477695204771364E-01 a       294     0    12     1    19
  1.4311938820048131E-01 a       295     0    12     1    20
  7.1422708994078855E-04 a       296     0    12     1    21
 -1.1105475947950530E-01 a       297     0    12     1    22
 -7.2108130262166267E-02 a       298     0    12     1    23
 -4.5180394620833744E-02 a       299     0    12     1    24
 -2.0079493135618842E-01 a       300     0    12     1    25
 -1.1648882129555845E-02 a       301     0    13     1     1
  1.4461956956750235E-01 a       302     0    13     1     2
 -1.1129185138057976E-01 a       303     0    13     1     3
  2.6348174713311806E-01 a       304     0    13     1     4
 -7.8436329557499788E-03 a       305     0    13     1     5
  1.6717813876396098E-01 a       306     0    13     1     6
 -1.6172978737130711E-01 a       307     0    13     1     7
  7.4705849558560647E-02 a       308     0    13     1     8
 -6.5896542019134793E-02 a       309     0    13     1     9
  1.3733682636005221E-02 a       310     0    13     1    10
  2.7804771413109214E-01 a       311     0    13     1    11
  1.1184006808499770E-01 a       312     0    13     1    12
  1.6655990825509939E-01 a       313     0    13     1    13
 -3.7580385201903388E-01 a       314     0    13     1    14
 -1.6567242462449627E-01 a       315     0    13     1    15
 -2.3850403403565226E-01 a       316     0    13     1    16
  3.5873004755859347E-02 a       317     0    13     1    17
 -2.8526972817492707E-01 a       318     0    13     1    18
  1.3957224297731979E-01 a       319     0    13     1    19
  1.4353606347270245E-01 a       320     0    13     1    20
 -3.4609332686278810E-01 a       321     0    13     1    21
  2.4974365462123280E-01 a       322     0    13     1    22
  1.0021594118800477E-01 a       323     0    13     1    23
  6.0495499331050050E-02 a       324     0    13     1    24
  1.6497315888392050E-01 a       325     0    13     1    25
  5.6010048620151248E-03 a       326     0    14     1     1
  2.1170127095596311E-01 a       327     0    14     1     2
 -7.0170379581508943E-02 a       328     0    14     1     3
 -2.1673983510052414E-01 a       329     0    14     1     4
  1.2902249764259872E-02 a       330     0    14     1     5
 -1.3441335876262028E-01 a       331     0    14     1     6
 -2.5229675437898495E-02 a       332     0    14     1     7
 -3.7595478560161870E-02 a       333     0    14     1     8
 -2.8882049250156621E-02 a       334     0    14     1     9
 -4.0931872136609024E-02 a       335     0    14     1    10
 -4.0808516214489006E-02 a       336     0    14     1    11
 -1.4746883246241899E-01 a       337     0    14     1    12
 -4.1031096944847203E-02 a       338     0    14     1    13
  7.8847285864042910E-02 a       339     0    14     1    14
  2.6139954730365150E-02 a       340     0    14     1    15
  1.1452312604988813E-02 a       341     0    14     1    16
 -2.8479119647805068E-01 a       342     0    14     1    17
 -1.0274197035837473E-01 a       343     0    14     1    18
  1.5964164070096346E-01 a       344     0    14     1    19
 -2.1657374633243499E-02 a       345     0    14     1    20
  1.7508067799411497E-01 a       346     0    14     1    21
 -9.8556098895111216E-02 a       347     0    14     1    22
 -1.4201734684772344E-01 a       348     0    14     1    23
 -2.2521975399358730E-02 a       349     0    14     1    24
  1.9266570032369191E-02 a       350     0    14     1    25
  5.5122791768768789E-02 a       351     0    15     1     1
  4.1192611277746996E-03 a       352     0    15     1     2
 -1.2359059564918942E-02 a       353     0    15     1     3
  1.1990528421601625E-01 a       354     0    15     1     4
 -1.9176789822214584E-02 a       355     0    15     1     5
  2.2711638207805493E-01 a       356     0    15     1     6
 -3.5220243984501504E-03 a       357     0    15     1     7
 -5.4450555220724894E-02 a       358     0    15     1     8
  2.1783032772977284E-02 a       359     0    15     1     9
 -2.2199595347196779E-01 a       360     0    15     1    10
 -1.2858301752411566E-01 a       361     0    15     1    11
 -4.4335358565354664E-02 a       362     0    15     1    12
  2.3673450119592310E-01 a       363     0    15     1    13
 -3.1034873845686167E-01 a       364     0    15     1    14
  9.1520077401642780E-02 a       365     0    15     1    15
 -1.6169519801204438E-01 a       366     0    15     1    16
