################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         2          9   4.4833423835585795E-01   1.1902280192145305E+00   7.8777795736972278E-01   1.2938072185272262E-01
         2         10   4.1775704849352294E-04   1.7639029041531454E-01   5.4983800910119618E-02   2.3600261815922698E-02
         2         11   0.0000000000000000E+00   2.2368815547194457E-01   1.6109711953099792E-02   3.0995198939448784E-02
         2         12   0.0000000000000000E+00   5.2399421000118677E-02   1.3931418181651362E-03   2.8682082196773121E-03
         2         13   1.6053013655728379E-01   1.4165568412956036E+00   7.4856044857138970E-01   1.7861185338678828E-01
         2         14   8.3559778679621072E-03   5.8161562191562777E-01   2.6744367564901583E-01   8.1356740420377743E-02
         2         15   0.0000000000000000E+00   4.3321622680760474E-01   4.4396387310536266E-02   7.7061707545827321E-02
         2         16   0.0000000000000000E+00   1.8789359579529222E-01   1.0448269371284390E-02   1.7631704189084545E-02
         2         17   1.3274923918582832E-01   1.7831642438780420E+00   9.8250055745283782E-01   2.0632649501608202E-01
         2         18   6.4878123831784915E-02   1.0326471154668171E+00   5.6835370681444985E-01   1.1955829475935179E-01
         2         19   0.0000000000000000E+00   5.0560730702105150E-01   5.2394494374788776E-02   8.2019228513194084E-02
         2         20   0.0000000000000000E+00   3.0492356908023566E-01   3.2362375492045507E-02   4.5833933655779945E-02
         2         21   3.3899642566233856E-01   1.8751644587192975E+00   1.1182365867748560E+00   1.7835439210015139E-01
         2         22   1.8088789875628566E-01   1.0159657261417423E+00   6.0759078139272382E-01   1.0663596710804324E-01
         2         23   0.0000000000000000E+00   3.0363702283342570E-01   3.3982167278337916E-02   4.4934023832184464E-02
         2         24   0.0000000000000000E+00   3.3133203672997319E-01   4.4372167744112755E-02   5.3347730944297983E-02
         2         25   3.3843879970077850E-01   1.2341582248891680E+00   8.3415005649599983E-01   1.1338859835626609E-01
         2         26   1.2657163846955233E-01   6.5911784360664760E-01   4.1138958745866533E-01   6.6046147705395006E-02
         2         27   0.0000000000000000E+00   2.0882231162663006E-01   2.0996746351613086E-02   2.4802015360157397E-02
         2         28   0.0000000000000000E+00   1.9011842388379646E-01   3.1468388620083110E-02   3.3045359980317719E-02
         2         29   1.9612942798738986E-01   6.4480714455240429E-01   4.3164363971553277E-01   5.7606416091397696E-02
         2         30   7.5422709092719406E-02   3.5931053305237592E-01   2.1157461685685758E-01   3.6480352097296220E-02
         2         31   0.0000000000000000E+00   1.1863519347844557E-01   1.3094986211436560E-02   1.4634474209247832E-02
         2         32   0.0000000000000000E+00   1.0489397431299084E-01   1.4905046370856094E-02   1.4911201100883575E-02
         2         33   7.1608764049453599E-02   2.5365272535318717E-01   1.6345536943655015E-01   2.2814439879565617E-02
         2         34   2.6387997869495736E-02   1.4155806864701692E-01   8.0783157812973835E-02   1.5549011484776073E-02
         2         35   0.0000000000000000E+00   4.6134919502973645E-02   5.6062108952841944E-03   5.8558322634617932E-03
         2         36   0.0000000000000000E+00   4.0805223747738317E-02   5.4797208267863828E-03   5.5139414141583713E-03
         2         37   1.8908681475532464E-02   6.5118359839182252E-02   4.1619715057754865E-02   6.0648645835221851E-03
         2         38   4.5510615195292039E-03   3.6763622118111142E-02   2.0264303492916889E-02   3.9507793305554031E-03
         2         39   0.0000000000000000E+00   1.2460034491210440E-02   1.4326988894815612E-03   1.4760943693396115E-03
         2         40   0.0000000000000000E+00   1.0895681225152604E-02   1.3918945139656394E-03   1.4234575124016876E-03
         2         41   2.9515411598935674E-02   1.5641271725630110E-01   8.4309731422876247E-02   2.0258644228179745E-02
         2         42   1.5113523675569860E-03   5.5641895067666702E-02   2.1325126109038420E-02   6.8265191623693416E-03
         2         43   0.0000000000000000E+00   3.2851752484960972E-02   3.4237618788196759E-03   5.6928110927882015E-03
         2         44   0.0000000000000000E+00   1.1448525997744045E-02   8.7811217726129257E-04   1.2213502012325549E-03
         2         45   2.9377591452152493E-05   5.0686738240864667E-03   1.3751294566340222E-03   6.2173482098531292E-04
         2         46   0.0000000000000000E+00   5.8052541986934464E-03   4.3780091025023149E-04   7.3064689709361884E-04
         2         47   0.0000000000000000E+00   1.4062185387694603E-03   1.2761877956522728E-04   1.6613793626861484E-04
         2         48   0.0000000000000000E+00   2.0495470161189335E-03   3.0183103250693977E-05   1.2640612315081357E-04
         2         49   0.0000000000000000E+00   1.7829872655295838E-03   3.8868361657413992E-05   1.0751666914253899E-04
         2         50   0.0000000000000000E+00   3.2114134713334333E-04   1.7615290572202896E-06   1.0127440722759216E-05
         2         51   2.2520046829944837E-02   2.3188496998632208E-01   1.0958260042175631E-01   2.6536083669004666E-02
         2         52   7.2818942886322046E-03   1.9816655375440306E-01   8.9478391304125854E-02   2.5131776050435206E-02
         2         53   0.0000000000000000E+00   4.1861952885317980E-02   3.4736025114911525E-03   5.1382766951576049E-03
         2         54   0.0000000000000000E+00   3.5140382623895010E-02   3.5137650241702559E-03   4.8160289430223902E-03
         2         55   1.2443967388046107E-04   1.2481639441470000E-02   3.9065418069137142E-03   1.5716189216078669E-03
         2         56   0.0000000000000000E+00   1.9082384502178421E-02   1.6324071189971654E-03   2.5038645553437057E-03
         2         57   0.0000000000000000E+00   3.4393843551738424E-03   3.4674985992246454E-04   4.1239764768237074E-04
         2         58   0.0000000000000000E+00   2.3782295113222384E-03   3.4275827301621184E-05   1.4614749726132934E-04
         2         59   0.0000000000000000E+00   4.5788617254311536E-03   1.2339139543620755E-04   3.3302953216190893E-04
         2         60   0.0000000000000000E+00   6.6958571456743441E-04   3.4733229446780368E-06   2.1715969148082622E-05
         2         61   4.2537794916935080E-03   4.5477693134854745E-02   2.2177226196731726E-02   6.6163113232223193E-03
         2         62   2.2972374336894779E-04   1.1592691817860722E-02   4.5049683434862558E-03   1.5653243165883795E-03
         2         63   0.0000000000000000E+00   1.1754900067154834E-02   1.0180732743419617E-03   1.8144833879475649E-03
         2         64   0.0000000000000000E+00   3.5478330098028051E-03   1.5020466375260298E-04   2.4602292887598436E-04
         2         65   3.6581396909747276E-07   4.8032898987905256E-04   9.7899456468048519E-05   6.2309112123695571E-05
         2         66   0.0000000000000000E+00   6.6295763406071543E-04   3.4211232246254571E-05   6.8196048404753969E-05
         2         67   0.0000000000000000E+00   1.9078191552752112E-04   7.3616011745809005E-06   1.2264566336101665E-05
         2         68   0.0000000000000000E+00   5.7511319347750445E-04   5.1178056705838225E-06   2.3395084747240223E-05
         2         69   0.0000000000000000E+00   2.4378992025590344E-04   2.9419773570174318E-06   1.0093188063856107E-05
         2         70   0.0000000000000000E+00   3.5632947120163269E-05   1.2851727140730052E-07   7.5584888942016257E-07
         2         71   4.1302244816456878E-03   1.0856496172038363E-01   4.8760932093410835E-02   1.2973039715178552E-02
         2         72   5.4124194064150422E-03   1.4357881597492650E-01   6.7685640076136880E-02   1.8688381506196405E-02
         2         73   0.0000000000000000E+00   2.0472347971606096E-02   1.1089416594560965E-03   1.4973628117475823E-03
         2         74   0.0000000000000000E+00   2.8220746945474644E-02   2.4704367582572130E-03   3.5333671033611694E-03
         2         75   7.5688752819824651E-05   5.5671016494298316E-03   1.8844095752778532E-03   7.2099051951444624E-04
         2         76   0.0000000000000000E+00   1.0247033687435117E-02   9.3274489980077046E-04   1.3800893714188800E-03
         2         77   0.0000000000000000E+00   1.4756565748765397E-03   1.5491482992236350E-04   1.7548107570049766E-04
         2         78   0.0000000000000000E+00   5.0357454333923798E-04   7.7011531802152650E-06   3.1967812739451417E-05
         2         79   0.0000000000000000E+00   2.1714132078868905E-03   6.3517286486045778E-05   1.6979214762312411E-04
         2         80   0.0000000000000000E+00   2.4823950716546542E-04   1.1849023623578151E-06   7.9672551930757403E-06
         3          1   1.9039145121312731E-05   2.1782315644577090E-02   4.5777625405544776E-04   8.6311813661196421E-04
         3          2   1.4453475331144937E-05   1.1240822794923104E-02   1.9075153382934790E-03   1.0374609108186421E-03
         3          3   0.0000000000000000E+00   2.2974944673119712E-05   5.1979185965106805E-07   2.0647370005740955E-06
         3          4   0.0000000000000000E+00   2.4773745084039098E-03   4.0815036537520576E-05   9.8043509977982962E-05
         3          5   9.7411522978675289E-04   1.6797195113123944E-01   1.1231089928956694E-02   8.6581174026990580E-03
         3          6   7.5833379617178392E-04   1.0228269234045367E-01   3.3535565186916742E-02   1.3946891096621063E-02
         3          7   0.0000000000000000E+00   8.7511641239404166E-04   2.7992094548659452E-05   9.0778455622707413E-05
         3          8   0.0000000000000000E+00   2.8904436156407379E-02   1.0830372436511648E-03   1.9351719435561818E-03
         3          9   1.8842473836345703E-02   5.2900710985065036E-01   1.2255774582112598E-01   4.9767052798697274E-02
         3         10   1.4912397069727018E-02   4.8175818029410650E-01   2.3080652548968875E-01   7.1320529242151584E-02
         3         11   0.0000000000000000E+00   1.2367823234691350E-02   6.1381607558058464E-04   1.5445561603508505E-03
         3         12   0.0000000000000000E+00   1.3911037651495056E-01   1.1527540461254754E-02   1.6172536557620864E-02
         3         13   1.5360040028269897E-01   1.1328726812807395E+00   5.8105981573372911E-01   1.5177398413066703E-01
         3         14   1.1153143623036074E-01   1.0142946741214991E+00   6.3607443319107160E-01   1.4218029817944414E-01
         3         15   0.0000000000000000E+00   6.6116808625782716E-02   5.7305325101882796E-03   1.0506603308482526E-02
         3         16   0.0000000000000000E+00   3.2000302146702797E-01   4.9915310831596706E-02   5.6964550438272289E-02
         3         17   4.8822599874569378E-01   1.9053565262637764E+00   1.2157205342633393E+00   2.1939016937352912E-01
         3         18   2.0629975236460249E-01   1.1583502334885545E+00   7.5066464482048878E-01   1.3703944146236102E-01
         3         19   0.0000000000000000E+00   1.6382446584181315E-01   2.4154709116613955E-02   3.0270687013377463E-02
         3         20   0.0000000000000000E+00   4.9901502134861109E-01   9.0841465361016560E-02   8.6241916876112490E-02
         3         21   5.9088671134147064E-01   1.8206843860620026E+00   1.2143077491953682E+00   1.7736123991338398E-01
         3         22   2.0608959865588605E-01   8.2881791579268804E-01   4.8686816877649863E-01   9.2291661436198186E-02
         3         23   0.0000000000000000E+00   2.1243876513249890E-01   4.9136901986898240E-02   4.1115655130029571E-02
         3         24   0.0000000000000000E+00   3.0987477464324342E-01   7.6566054042648532E-02   6.0247143915937662E-02
         3         25   3.4353679367369933E-01   1.1733754673259151E+00   7.2334391904587558E-01   1.0875214276549716E-01
         3         26   8.9828969887273930E-02   5.7749575112889251E-01   3.0082388102982960E-01   6.3408792104927503E-02
         3         27   0.0000000000000000E+00   1.6485307635982296E-01   5.1374522849005289E-02   3.2703269301709192E-02
         3         28   0.0000000000000000E+00   1.6171943240493644E-01   4.1343103313434125E-02   2.7087614003203839E-02
         3         29   1.6774811804639414E-01   5.4059455003428825E-01   3.5979618280833420E-01   6.0774512170597726E-02
         3         30   6.5021307875941070E-02   3.2152963532104140E-01   1.8761404782383406E-01   4.1020882233780642E-02
         3         31   0.0000000000000000E+00   9.7391341263143208E-02   2.9102866319908192E-02   1.8025019267963707E-02
         3         32   0.0000000000000000E+00   8.2963602252924512E-02   2.3017733744649410E-02   1.5709399104911377E-02
         3         33   7.5683694560201825E-02   2.3423817487125581E-01   1.5173788987176187E-01   2.6539792349142416E-02
         3         34   2.8697365683466893E-02   1.3083605191156586E-01   8.0321116955415398E-02   1.6468980874233395E-02
         3         35   0.0000000000000000E+00   3.4836542206176338E-02   9.3794986680492184E-03   6.3691435430959561E-03
         3         36   0.0000000000000000E+00   3.6334770391740406E-02   1.0801508559064256E-02   7.3214159125694605E-03
         3         37   1.8442457086103540E-02   6.5655542891187649E-02   4.1803632628114075E-02   7.1008335634532623E-03
         3         38   6.1272251420352534E-03   3.4839495914113762E-02   2.0526515540245076E-02   4.0697649240311684E-03
         3         39   0.0000000000000000E+00   7.2472378086297449E-03   1.7932535046848266E-03   1.4315019065452809E-03
         3         40   0.0000000000000000E+00   1.0346928382269319E-02   2.9112000168503948E-03   1.9515828594475581E-03
         3         41   1.1155099878422236E-03   1.9922036983160946E-02   7.2097139248324307E-03   2.9543366246837068E-03
         3         42   1.4372621559660783E-03   3.4813219426905219E-02   1.2726502525734776E-02   5.2035923838047449E-03
         3         43   0.0000000000000000E+00   2.3697596081822237E-03   3.5180825243096849E-04   3.9060632777413140E-04
         3         44   0.0000000000000000E+00   6.2363432854441190E-03   1.0309824503850929E-03   9.8896532516939322E-04
